Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2017,San Diego,"3,320,387","1,465,666","115,523,580,000","42,009",19,"553,502","86,128",19,"5,737,680,000",32.78964014,-117.1936577,POINT (-117.1936577 32.78964014)
2018,Glenn,"28,755","12,285","617,500,029","34,683",42,"5,055","58,680",49,"20,005,874",39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
2019,Nevada,"97,439","46,047","3,567,282,000","42,138",23,"19,002","83,436",20,"172,853,000",39.29548859,-120.9008733,POINT (-120.9008733 39.29548859)
2018,Humboldt,"135,765","54,164","2,909,751,925","33,410",46,"18,396","69,065",35,"99,667,093",40.86148517,-123.8585124,POINT (-123.8585124 40.86148517)
2019,Tulare,"480,788","181,068","8,567,787,000","30,746",57,"62,452","56,511",55,"271,220,000",36.28254312,-118.2652098,POINT (-118.2652098 36.28254312)
2017,Yuba,"76,767","26,998","1,291,387,000","33,537",43,"10,977","58,944",45,"32,146,000",39.27129476,-121.3793557,POINT (-121.3793557 39.27129476)
2019,Inyo,"18,429","8,745","550,917,000","41,501",25,"3,403","78,779",25,"20,074,000",36.63350255,-118.2559592,POINT (-118.2559592 36.63350255)
2017,Merced,"276,611","98,810","4,424,411,000","31,078",55,"37,396","53,751",54,"122,440,000",37.1324242,-120.7167521,POINT (-120.7167521 37.1324242)
2017,Sonoma,"503,634","232,838","18,571,391,000","46,359",10,"88,103","91,250",13,"916,157,000",38.49367199,-122.9302632,POINT (-122.9302632 38.49367199)
2019,Tuolumne,"52,353","23,231","1,485,123,000","39,726",28,"9,672","74,076",33,"59,077,000",37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
2019,Modoc,"9,416","2,960","128,233,000","31,193",56,"1,280","54,011",56,"3,499,000",41.71368177,-120.943072,POINT (-120.943072 41.71368177)
2017,Los Angeles,"10,261,736","4,433,194","346,811,236,000","35,750",33,"1,354,401","72,787",25,"19,724,146,000",34.0594833,-118.242048,POINT (-118.242048 34.0594833)
2017,San Bernardino,"2,163,561","853,913","45,053,565,000","33,761",41,"298,234","66,887",34,"1,408,166,000",34.52258599,-115.5372574,POINT (-115.5372574 34.52258599)
2019,San Luis Obispo,"276,151","129,436","10,451,360,000","47,557",12,"51,803","94,644",16,"498,695,000",35.27435015,-120.6124974,POINT (-120.6124974 35.27435015)
2018,San Diego,"3,344,438","1,503,198","118,521,464,839","43,195",19,"556,543","89,663",19,"6,320,412,237",32.78964014,-117.1936577,POINT (-117.1936577 32.78964014)
2019,Fresno,"1,026,358","406,126","22,983,901,000","33,034",49,"134,590","66,959",43,"841,638,000",36.81276025,-119.6826941,POINT (-119.6826941 36.81276025)
2017,Fresno,"1,000,143","377,112","21,165,166,000","31,325",53,"131,650","62,723",39,"844,858,000",36.81276025,-119.6826941,POINT (-119.6826941 36.81276025)
2018,Kings,"153,318","49,375","2,357,833,005","33,409",47,"18,646","58,720",48,"64,971,772",36.01947119,-120.0181641,POINT (-120.0181641 36.01947119)
2018,Santa Barbara,"452,953","194,233","15,860,257,408","40,670",24,"68,942","82,047",21,"881,510,604",34.42119106,-119.6988197,POINT (-119.6988197 34.42119106)
2019,Placer,"397,469","187,407","18,248,898,000","57,945",6,"85,721","115,231",7,"911,622,000",39.0316205,-120.8830665,POINT (-120.8830665 39.0316205)
2017,Shasta,"178,240","74,833","4,272,946,000","35,365",36,"32,083","65,014",37,"151,785,000",40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
2017,Kern,"897,949","318,490","16,909,103,000","31,757",49,"119,766","62,335",41,"575,977,000",35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
2019,Calaveras,"44,286","19,995","1,345,012,000","43,184",21,"9,053","76,397",31,"52,063,000",38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
2019,San Benito,"62,789","29,027","2,240,420,000","47,341",13,"11,614","92,584",18,"94,246,000",36.50024907,-121.0915105,POINT (-121.0915105 36.50024907)
2017,San Luis Obispo,"278,680","124,380","9,055,321,000","44,523",12,"51,423","86,909",18,"402,308,000",35.27435015,-120.6124974,POINT (-120.6124974 35.27435015)
