Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2017,Lassen,"30,604","9,571","542,566,000","43,745",14,"4,258","72,260",26,"16,026,000",40.43255922,-120.6495591,POINT (-120.6495591 40.43255922)
2019,Del Norte,"27,193","9,566","479,077,000","34,746",45,"3,747","67,284",41,"13,457,000",41.70557047,-123.8920045,POINT (-123.8920045 41.70557047)
2019,Alpine,"1,115",453,"26,367,000","34,395",46,161,"80,831",23,"907,000",38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
2018,Tuolumne,"52,843","22,922","1,387,295,550","39,543",26,"9,853","71,827",33,"49,299,702",37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
2019,Nonresident,,"859,815","65,741,654,000","19,434",,"408,976","26,468",,"6,959,264,000",0,0,POINT (0 0)
2019,Sonoma,"491,134","240,465","13,902,235,000","50,303",10,"89,106","99,473",11,"1,068,139,000",38.49367199,-122.9302632,POINT (-122.9302632 38.49367199)
2017,Santa Clara,"1,945,911","903,748","138,821,637,000","63,682",3,"365,043","143,572",2,"9,995,368,000",37.23423826,-121.7317226,POINT (-121.7317226 37.23423826)
2018,Alameda,"1,662,730","806,980","89,488,907,459","58,562",5,"302,393","129,960",5,"5,153,670,934",37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
2019,Mendocino,"87,491","38,185","2,105,710,000","35,131",42,"13,263","64,849",45,"73,527,000",39.31034149,-123.6517776,POINT (-123.6517776 39.31034149)
2017,Plumas,"19,550","7,652","411,467,000","37,791",26,"3,439","63,525",38,"13,080,000",40.00510655,-121.0077457,POINT (-121.0077457 40.00510655)
2017,San Francisco,"880,955","468,841","71,436,323,000","63,524",4,"128,987","121,922",4,"5,505,510,000",37.7577,-122.4376,POINT (-122.4376 37.7577)
2017,Solano,"437,434","195,223","13,190,305,000","45,735",11,"72,873","88,810",16,"483,810,000",38.17681839,-122.0352986,POINT (-122.0352986 38.17681839)
2019,San Francisco,"899,891","475,400","90,407,422,000","72,289",2,"130,089","140,716",4,"7,663,439,000",37.7577,-122.4376,POINT (-122.4376 37.7577)
